state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 1, a, 732, 0.8469945
goal.food, l2, 1, a, 732, 0.2691128
goal.food, l2.binary, 1, a, 732, 0.2880546
goal.food, avgp, 1, a, 732, 0.8362672
goal.food, neglogp, 1, a, 732, 1.1083195
goal.food, mrr, 1, a, 732, 0.8772769
goal.food, update.acc, 1, a, 732, 0.5423729
goal.food, update.prec, 1, a, 732, 0.9142857
goal.food, roc.v1_eer, 1, a, 732, 0.1612022
goal.food, roc.v1_ca05, 1, a, 732, 0.6912568
goal.food, roc.v1_ca10, 1, a, 732, 0.8224044
goal.food, roc.v1_ca20, 1, a, 732, 0.8469945
goal.food, roc.v2_ca05, 1, a, 732, 0.0016129
goal.food, roc.v2_ca10, 1, a, 732, 0.0016129
goal.food, roc.v2_ca20, 1, a, 732, 0.0016129
goal.pricerange, acc, 1, a, 732, 0.9603825
goal.pricerange, l2, 1, a, 732, 0.0759011
goal.pricerange, l2.binary, 1, a, 732, 0.0771331
goal.pricerange, avgp, 1, a, 732, 0.9486508
goal.pricerange, neglogp, 1, a, 732, 0.2838284
goal.pricerange, mrr, 1, a, 732, 0.9760929
goal.pricerange, update.acc, 1, a, 732, 0.7422680
goal.pricerange, update.prec, 1, a, 732, 0.9473684
goal.pricerange, roc.v1_eer, 1, a, 732, 0.0628415
goal.pricerange, roc.v1_ca05, 1, a, 732, 0.9603825
goal.pricerange, roc.v1_ca10, 1, a, 732, 0.9603825
goal.pricerange, roc.v1_ca20, 1, a, 732, 0.9603825
goal.pricerange, roc.v2_ca05, 1, a, 732, 0.0014225
goal.pricerange, roc.v2_ca10, 1, a, 732, 0.0014225
goal.pricerange, roc.v2_ca20, 1, a, 732, 0.0014225
goal.name, acc, 1, a, 732, 1.0000000
goal.name, l2, 1, a, 732, 0.0000201
goal.name, l2.binary, 1, a, 732, 0.0000201
goal.name, avgp, 1, a, 732, 0.9996095
goal.name, neglogp, 1, a, 732, 0.0003957
